state_name,year,quarter_file,payment_type,total_transactions,total_amount
andaman-&-nicobar-islands,2018,1.json,TOTAL,6658,14631761.221830001
andaman-&-nicobar-islands,2018,2.json,TOTAL,11340,28338535.5065
andaman-&-nicobar-islands,2018,3.json,TOTAL,16265,55557471.131804004
andaman-&-nicobar-islands,2018,4.json,TOTAL,23758,90548336.07544
andaman-&-nicobar-islands,2019,1.json,TOTAL,30486,102299740.6751
andaman-&-nicobar-islands,2019,2.json,TOTAL,33689,120254709.7093
andaman-&-nicobar-islands,2019,3.json,TOTAL,33770,114071776.08410001
andaman-&-nicobar-islands,2019,4.json,TOTAL,35159,136838530.5095
andaman-&-nicobar-islands,2020,1.json,TOTAL,41298,161476312.3007
andaman-&-nicobar-islands,2020,2.json,TOTAL,62962,169645001.37429997
andaman-&-nicobar-islands,2020,3.json,TOTAL,117483,338019446.3052
andaman-&-nicobar-islands,2020,4.json,TOTAL,224531,627282656.3290001
andaman-&-nicobar-islands,2021,1.json,TOTAL,244752,783706567.3810002
andaman-&-nicobar-islands,2021,2.json,TOTAL,341414,899147016.13
andaman-&-nicobar-islands,2021,3.json,TOTAL,449764,1310024395.629
andaman-&-nicobar-islands,2021,4.json,TOTAL,636123,1932610101.0199997
andaman-&-nicobar-islands,2022,1.json,TOTAL,794748,2129030202.3650002
andaman-&-nicobar-islands,2022,2.json,TOTAL,1071217,2685920349.6210003
andaman-&-nicobar-islands,2022,3.json,TOTAL,1584379,3310631772.5790005
andaman-&-nicobar-islands,2022,4.json,TOTAL,1987535,3984674404.674
andaman-&-nicobar-islands,2023,1.json,TOTAL,2276392,4461528587
andaman-&-nicobar-islands,2023,2.json,TOTAL,2707775,4990344236
andaman-&-nicobar-islands,2023,3.json,TOTAL,3098376,5211596791
andaman-&-nicobar-islands,2023,4.json,TOTAL,3695783,6269552499
andaman-&-nicobar-islands,2024,1.json,TOTAL,4184920,6859151835
andaman-&-nicobar-islands,2024,2.json,TOTAL,4653224,7295780330
andaman-&-nicobar-islands,2024,3.json,TOTAL,5279250,7663845009
andaman-&-nicobar-islands,2024,4.json,TOTAL,6063900,8920944773
andhra-pradesh,2018,1.json,TOTAL,9039585,11996276391.660002
andhra-pradesh,2018,2.json,TOTAL,12353918,22883914272.31
andhra-pradesh,2018,3.json,TOTAL,25626061,35718044599.67
andhra-pradesh,2018,4.json,TOTAL,30759548,51473779406.700005
andhra-pradesh,2019,1.json,TOTAL,57264522,83760595916.03
andhra-pradesh,2019,2.json,TOTAL,56409015,113634869526.17
andhra-pradesh,2019,3.json,TOTAL,76288614,139448298925.63
andhra-pradesh,2019,4.json,TOTAL,107218103,200948765438.95
andhra-pradesh,2020,1.json,TOTAL,127677357,252737660233.57
andhra-pradesh,2020,2.json,TOTAL,144917855,302583965615.8
andhra-pradesh,2020,3.json,TOTAL,204902935,467084342332.9
andhra-pradesh,2020,4.json,TOTAL,286118552,654841407490.1
andhra-pradesh,2021,1.json,TOTAL,289747970,672444477163.1
andhra-pradesh,2021,2.json,TOTAL,352767134,850737015050.8
andhra-pradesh,2021,3.json,TOTAL,432032550,984217532931.4
andhra-pradesh,2021,4.json,TOTAL,522254003,1156264748238.4
andhra-pradesh,2022,1.json,TOTAL,582603911,1294321778041.4001
andhra-pradesh,2022,2.json,TOTAL,671134030,1479855361034.9
andhra-pradesh,2022,3.json,TOTAL,642855035,1385073063169.1
andhra-pradesh,2022,4.json,TOTAL,690017077,1424725645661.1
andhra-pradesh,2023,1.json,TOTAL,1145532464,2249053415898
andhra-pradesh,2023,2.json,TOTAL,1305656964,2506041193495
andhra-pradesh,2023,3.json,TOTAL,1475164403,2653409202887
andhra-pradesh,2023,4.json,TOTAL,1596987426,2802517839124
andhra-pradesh,2024,1.json,TOTAL,1755428485,3012730433408
andhra-pradesh,2024,2.json,TOTAL,1930122300,3181919130066
andhra-pradesh,2024,3.json,TOTAL,2091371362,3226645964488
andhra-pradesh,2024,4.json,TOTAL,2296445544,3452019926122
arunachal-pradesh,2018,1.json,TOTAL,45497,92387336.00602001
arunachal-pradesh,2018,2.json,TOTAL,82157,198970192.35059997
arunachal-pradesh,2018,3.json,TOTAL,131146,331726406.79225004
arunachal-pradesh,2018,4.json,TOTAL,176429,504040029.0528
arunachal-pradesh,2019,1.json,TOTAL,226506,609950106.2689
arunachal-pradesh,2019,2.json,TOTAL,258656,752655874.3461
arunachal-pradesh,2019,3.json,TOTAL,370234,912645034.7415001
arunachal-pradesh,2019,4.json,TOTAL,459475,1190573179.5908
arunachal-pradesh,2020,1.json,TOTAL,567175,1381758680.9152
arunachal-pradesh,2020,2.json,TOTAL,808774,1826716832.908
arunachal-pradesh,2020,3.json,TOTAL,962827,2609938565.1679997
arunachal-pradesh,2020,4.json,TOTAL,1209129,3570264021.3929996
arunachal-pradesh,2021,1.json,TOTAL,1177456,3813779079.083
arunachal-pradesh,2021,2.json,TOTAL,1568338,4456425616.931001
arunachal-pradesh,2021,3.json,TOTAL,1906967,5678124175.277
arunachal-pradesh,2021,4.json,TOTAL,2390598,6943510352.466
arunachal-pradesh,2022,1.json,TOTAL,2804068,7828091627.606
arunachal-pradesh,2022,2.json,TOTAL,3556925,9131665374.18
arunachal-pradesh,2022,3.json,TOTAL,3939418,9025110784.277998
arunachal-pradesh,2022,4.json,TOTAL,4632709,9684909697.894001
arunachal-pradesh,2023,1.json,TOTAL,8042825,16394578454
arunachal-pradesh,2023,2.json,TOTAL,10360488,19805698664
arunachal-pradesh,2023,3.json,TOTAL,12802433,21127391086
arunachal-pradesh,2023,4.json,TOTAL,14617742,24128799794
arunachal-pradesh,2024,1.json,TOTAL,16406414,26047044476
arunachal-pradesh,2024,2.json,TOTAL,19478372,29706351630
arunachal-pradesh,2024,3.json,TOTAL,24447142,31601956705
arunachal-pradesh,2024,4.json,TOTAL,26793457,35079886873
assam,2018,1.json,TOTAL,1056881,1157804456.2310002
assam,2018,2.json,TOTAL,1663873,2350585135.398
assam,2018,3.json,TOTAL,2351851,3811134990.372
assam,2018,4.json,TOTAL,3734172,5888022858.917001
assam,2019,1.json,TOTAL,4533005,8002099536.652999
assam,2019,2.json,TOTAL,5454929,10954969189.324
assam,2019,3.json,TOTAL,5942571,12950443620.185
assam,2019,4.json,TOTAL,6760510,15281983895.196001
assam,2020,1.json,TOTAL,8808860,20668428348.048
assam,2020,2.json,TOTAL,10505199,19766300125.899998
assam,2020,3.json,TOTAL,12397711,29831391258.78
assam,2020,4.json,TOTAL,15423454,40226611319.450005
assam,2021,1.json,TOTAL,19512060,51326464546.27
assam,2021,2.json,TOTAL,25432905,59192473376.77
assam,2021,3.json,TOTAL,33504441,75700499272.84
assam,2021,4.json,TOTAL,46020361,104184967893.41
assam,2022,1.json,TOTAL,58889886,132280085544.86
assam,2022,2.json,TOTAL,76334725,153111128981.75998
assam,2022,3.json,TOTAL,86113811,161489375202.72998
assam,2022,4.json,TOTAL,103981267,192653121518.52002
assam,2023,1.json,TOTAL,113760638,212354013338
assam,2023,2.json,TOTAL,138290953,235110505802
assam,2023,3.json,TOTAL,167575351,244058511727
assam,2023,4.json,TOTAL,193752157,285603699191
assam,2024,1.json,TOTAL,221525056,321184143653
assam,2024,2.json,TOTAL,271327087,345308823991
assam,2024,3.json,TOTAL,295345591,333558736213
assam,2024,4.json,TOTAL,332441531,382786210274
bihar,2018,1.json,TOTAL,5824302,6045758171.58
bihar,2018,2.json,TOTAL,8632378,13506131109.6
bihar,2018,3.json,TOTAL,14367804,20135804378.95
bihar,2018,4.json,TOTAL,15732401,28397997168.809998
bihar,2019,1.json,TOTAL,26356234,41502827515.130005
bihar,2019,2.json,TOTAL,29960479,63132438283.64
bihar,2019,3.json,TOTAL,32139900,67692783254.13
bihar,2019,4.json,TOTAL,43530314,93313426577.65999
bihar,2020,1.json,TOTAL,45081815,109256853527.91
bihar,2020,2.json,TOTAL,53386742,128806154687.45999
bihar,2020,3.json,TOTAL,71503748,173329181360.66
bihar,2020,4.json,TOTAL,96591673,238906055245
bihar,2021,1.json,TOTAL,114932477,280973337339.1
bihar,2021,2.json,TOTAL,155603622,374580571923.10004
bihar,2021,3.json,TOTAL,187671113,397062658172.1
bihar,2021,4.json,TOTAL,245126945,519371516054.7
bihar,2022,1.json,TOTAL,284390434,611411889188.5
bihar,2022,2.json,TOTAL,360145029,754461413712
bihar,2022,3.json,TOTAL,437367385,791446683961
bihar,2022,4.json,TOTAL,517084649,936011807354.9
bihar,2023,1.json,TOTAL,547831195,1039276645175
bihar,2023,2.json,TOTAL,683933094,1226047173462
bihar,2023,3.json,TOTAL,734238751,1148152838024
bihar,2023,4.json,TOTAL,924427274,1434733500410
bihar,2024,1.json,TOTAL,1078734783,1637742049668
bihar,2024,2.json,TOTAL,1313888385,1886846814479
bihar,2024,3.json,TOTAL,1352876223,1780277628607
bihar,2024,4.json,TOTAL,1559667675,2098928970690
chandigarh,2018,1.json,TOTAL,381895,613435420.82
chandigarh,2018,2.json,TOTAL,479084,961223261.7239999
chandigarh,2018,3.json,TOTAL,616936,1369354447.587
chandigarh,2018,4.json,TOTAL,905116,2032591591.4669998
chandigarh,2019,1.json,TOTAL,1274476,2396032050.7867002
chandigarh,2019,2.json,TOTAL,1252470,2693116099.4114
chandigarh,2019,3.json,TOTAL,1506543,3269682087.8450003
