state_name,year,quarter_file,total_transactions,total_amount
maharashtra,2018,1.json,16387034,21711613257.760002
uttar-pradesh,2018,1.json,12537805,13939970923.589998
karnataka,2018,1.json,12016899,19217895313.91
west-bengal,2018,1.json,11710225,10625978552.300001
andhra-pradesh,2018,1.json,9039585,11996276391.660002
telangana,2018,1.json,8522766,13308204118.760002
madhya-pradesh,2018,1.json,8025395,8681603403.88
rajasthan,2018,1.json,7591690,8926293131.1
delhi,2018,1.json,7122754,11211503807.27
tamil-nadu,2018,1.json,6726622,11261557697.45
gujarat,2018,1.json,5948775,7577982255.210001
bihar,2018,1.json,5824302,6045758171.58
odisha,2018,1.json,5809821,4627632210.78
haryana,2018,1.json,4480770,6793511515.01
jharkhand,2018,1.json,2178921,2374186390.2700005
chhattisgarh,2018,1.json,1891514,2149155557.064
punjab,2018,1.json,1870433,2780758225.3500004
kerala,2018,1.json,1771380,2402674752.822
uttarakhand,2018,1.json,1246685,1508545358.146
assam,2018,1.json,1056881,1157804456.2310002
jammu-&-kashmir,2018,1.json,941568,1005371239.23
himachal-pradesh,2018,1.json,481918,628737806.3850001
chandigarh,2018,1.json,381895,613435420.82
goa,2018,1.json,160897,303856742.3744
dadra-&-nagar-haveli-&-daman-&-diu,2018,1.json,148549,175658384.06339997
tripura,2018,1.json,148157,137978914.5542
puducherry,2018,1.json,104212,165825971.4073
manipur,2018,1.json,84069,128046173.9729
meghalaya,2018,1.json,49571,66250259.7946
arunachal-pradesh,2018,1.json,45497,92387336.00602001
sikkim,2018,1.json,44078,64650938.93758001
nagaland,2018,1.json,42845,78005891.08559999
mizoram,2018,1.json,18561,45227219.97777001
andaman-&-nicobar-islands,2018,1.json,6658,14631761.221830001
ladakh,2018,1.json,6089,12532857.7716
lakshadweep,2018,1.json,778,1928611.1804228
maharashtra,2018,2.json,22285740,36357057241.240005
west-bengal,2018,2.json,18082446,18629183470.4
uttar-pradesh,2018,2.json,17710943,25720201695.3
karnataka,2018,2.json,17116447,33515580081.010002
andhra-pradesh,2018,2.json,12353918,22883914272.31
telangana,2018,2.json,10764670,23017201518.25
madhya-pradesh,2018,2.json,10561412,15924081066.31
tamil-nadu,2018,2.json,9992128,20125844276.359997
rajasthan,2018,2.json,9973697,15559086175.240002
delhi,2018,2.json,9373723,17446299902.300003
bihar,2018,2.json,8632378,13506131109.6
odisha,2018,2.json,8158144,8488310340.119999
gujarat,2018,2.json,7745733,12162684770.83
haryana,2018,2.json,6150931,11320414442.340002
jharkhand,2018,2.json,3152080,4721575659.35
chhattisgarh,2018,2.json,2816156,4264170443.5269995
punjab,2018,2.json,2581163,4684672212.280001
kerala,2018,2.json,2308165,3886923343.36
jammu-&-kashmir,2018,2.json,1796326,2651206236.9300003
