state_name,year,quarter_file,total_transactions,previous_quarter_transactions
andaman-&-nicobar-islands,2018,1.json,6658,NULL
andaman-&-nicobar-islands,2018,2.json,11340,6658
andaman-&-nicobar-islands,2018,3.json,16265,11340
andaman-&-nicobar-islands,2018,4.json,23758,16265
andaman-&-nicobar-islands,2019,1.json,30486,23758
andaman-&-nicobar-islands,2019,2.json,33689,30486
andaman-&-nicobar-islands,2019,3.json,33770,33689
andaman-&-nicobar-islands,2019,4.json,35159,33770
andaman-&-nicobar-islands,2020,1.json,41298,35159
andaman-&-nicobar-islands,2020,2.json,62962,41298
andaman-&-nicobar-islands,2020,3.json,117483,62962
andaman-&-nicobar-islands,2020,4.json,224531,117483
andaman-&-nicobar-islands,2021,1.json,244752,224531
andaman-&-nicobar-islands,2021,2.json,341414,244752
andaman-&-nicobar-islands,2021,3.json,449764,341414
andaman-&-nicobar-islands,2021,4.json,636123,449764
andaman-&-nicobar-islands,2022,1.json,794748,636123
andaman-&-nicobar-islands,2022,2.json,1071217,794748
andaman-&-nicobar-islands,2022,3.json,1584379,1071217
andaman-&-nicobar-islands,2022,4.json,1987535,1584379
andaman-&-nicobar-islands,2023,1.json,2276392,1987535
andaman-&-nicobar-islands,2023,2.json,2707775,2276392
andaman-&-nicobar-islands,2023,3.json,3098376,2707775
andaman-&-nicobar-islands,2023,4.json,3695783,3098376
andaman-&-nicobar-islands,2024,1.json,4184920,3695783
andaman-&-nicobar-islands,2024,2.json,4653224,4184920
andaman-&-nicobar-islands,2024,3.json,5279250,4653224
andaman-&-nicobar-islands,2024,4.json,6063900,5279250
andhra-pradesh,2018,1.json,9039585,NULL
andhra-pradesh,2018,2.json,12353918,9039585
andhra-pradesh,2018,3.json,25626061,12353918
andhra-pradesh,2018,4.json,30759548,25626061
andhra-pradesh,2019,1.json,57264522,30759548
andhra-pradesh,2019,2.json,56409015,57264522
andhra-pradesh,2019,3.json,76288614,56409015
andhra-pradesh,2019,4.json,107218103,76288614
andhra-pradesh,2020,1.json,127677357,107218103
andhra-pradesh,2020,2.json,144917855,127677357
andhra-pradesh,2020,3.json,204902935,144917855
andhra-pradesh,2020,4.json,286118552,204902935
andhra-pradesh,2021,1.json,289747970,286118552
andhra-pradesh,2021,2.json,352767134,289747970
andhra-pradesh,2021,3.json,432032550,352767134
andhra-pradesh,2021,4.json,522254003,432032550
andhra-pradesh,2022,1.json,582603911,522254003
andhra-pradesh,2022,2.json,671134030,582603911
andhra-pradesh,2022,3.json,642855035,671134030
andhra-pradesh,2022,4.json,690017077,642855035
andhra-pradesh,2023,1.json,1145532464,690017077
andhra-pradesh,2023,2.json,1305656964,1145532464
andhra-pradesh,2023,3.json,1475164403,1305656964
andhra-pradesh,2023,4.json,1596987426,1475164403
andhra-pradesh,2024,1.json,1755428485,1596987426
andhra-pradesh,2024,2.json,1930122300,1755428485
andhra-pradesh,2024,3.json,2091371362,1930122300
