state_name,year,quarter_file,total_insurance_transactions,total_insurance_amount
karnataka,2024,4.json,183532,305861806
karnataka,2024,3.json,174990,287393291
karnataka,2024,1.json,169357,264708700
maharashtra,2024,4.json,168078,266942711
karnataka,2023,4.json,156076,248056311
maharashtra,2024,1.json,149016,224725389
karnataka,2024,2.json,142599,239304982
karnataka,2023,3.json,139699,199448538
maharashtra,2023,4.json,136968,217657114
karnataka,2022,4.json,133971,185063287
karnataka,2023,1.json,127376,186543426
tamil-nadu,2024,4.json,127002,173784251
maharashtra,2022,4.json,125900,174915648
tamil-nadu,2022,4.json,125491,146457790
maharashtra,2024,3.json,119776,201319952
maharashtra,2024,2.json,118933,198945046
karnataka,2023,2.json,117232,175704013
tamil-nadu,2024,3.json,116867,162128271
uttar-pradesh,2024,4.json,116589,199179867
maharashtra,2023,1.json,112174,166596248
tamil-nadu,2024,1.json,111521,148976175
karnataka,2022,3.json,110273,144605784
maharashtra,2023,3.json,104872,151171882
tamil-nadu,2023,4.json,104871,139433796
uttar-pradesh,2024,1.json,103701,176442664
maharashtra,2023,2.json,102754,157303399
tamil-nadu,2024,2.json,97348,135972378
karnataka,2022,1.json,95640,130733580
karnataka,2022,2.json,93385,123228632
uttar-pradesh,2024,3.json,92930,157303596
uttar-pradesh,2024,2.json,92458,159894258
uttar-pradesh,2023,4.json,92125,165509877
west-bengal,2024,4.json,91719,120602777
tamil-nadu,2023,3.json,91069,114625593
maharashtra,2022,3.json,90958,113835208
tamil-nadu,2023,1.json,90690,116710222
kerala,2024,4.json,89533,144083113
maharashtra,2022,1.json,88015,117411928
maharashtra,2021,4.json,82423,93262227
maharashtra,2022,2.json,80935,104603934
tamil-nadu,2023,2.json,79698,105328191
west-bengal,2024,1.json,79576,104987909
kerala,2024,3.json,79123,131721699
uttar-pradesh,2023,3.json,78940,121483170
telangana,2024,4.json,78498,124755619
west-bengal,2024,3.json,77158,107451766
uttar-pradesh,2022,4.json,77022,116755813
karnataka,2021,4.json,74436,90723288
uttar-pradesh,2023,2.json,74194,122522457
kerala,2023,4.json,73543,121905046
rajasthan,2024,4.json,73530,127930986
kerala,2024,1.json,73106,115101791
uttar-pradesh,2023,1.json,73080,127110494
west-bengal,2023,4.json,72712,100365562
maharashtra,2020,3.json,71662,19230156
maharashtra,2021,2.json,70381,46763103
delhi,2024,4.json,67962,94390728
telangana,2024,1.json,67388,105607539
west-bengal,2024,2.json,67048,89476633
kerala,2023,3.json,66059,110021582
kerala,2022,4.json,65563,103982997
kerala,2024,2.json,65271,108142369
telangana,2024,3.json,64873,110715264
telangana,2022,4.json,64655,88544127
rajasthan,2024,3.json,64533,108827800
uttar-pradesh,2022,3.json,64514,87703512
tamil-nadu,2022,3.json,64356,79747520
telangana,2023,4.json,63993,105605522
bihar,2024,4.json,62662,83739800
gujarat,2024,4.json,62526,91858105
kerala,2023,1.json,62377,101786828
telangana,2023,3.json,61523,84397465
andhra-pradesh,2024,4.json,61425,80028914
kerala,2023,2.json,61032,100620604
madhya-pradesh,2024,4.json,59688,101096769
rajasthan,2024,1.json,59127,102926410
haryana,2024,4.json,58808,94316512
west-bengal,2023,3.json,58131,76359312
telangana,2024,2.json,56941,96037304
west-bengal,2023,1.json,56833,77461732
delhi,2023,4.json,56336,77332401
